outcome,outcome_label,in_top_k_subgroups,maternal_age,count
BPD,0,False,11-19,988.0
BPD,0,False,20-24,1635.0
BPD,0,False,25-29,1835.0
BPD,0,False,30-34,1828.0
BPD,0,False,35-39,1221.0
BPD,0,False,40-44,384.0
BPD,0,False,45-70,26.0
BPD,0,True,11-19,183.0
BPD,0,True,20-24,276.0
BPD,0,True,25-29,302.0
BPD,0,True,30-34,340.0
BPD,0,True,35-39,245.0
BPD,0,True,40-44,73.0
BPD,0,True,45-70,11.0
BPD,1,False,11-19,365.0
BPD,1,False,20-24,683.0
BPD,1,False,25-29,778.0
BPD,1,False,30-34,763.0
BPD,1,False,35-39,536.0
BPD,1,False,40-44,161.0
BPD,1,False,45-70,14.0
BPD,1,True,11-19,100.0
BPD,1,True,20-24,208.0
BPD,1,True,25-29,202.0
BPD,1,True,30-34,190.0
BPD,1,True,35-39,135.0
BPD,1,True,40-44,49.0
BPD,1,True,45-70,
IVH,0,False,11-19,860.0
IVH,0,False,20-24,1496.0
IVH,0,False,25-29,1731.0
IVH,0,False,30-34,1721.0
IVH,0,False,35-39,1222.0
IVH,0,False,40-44,385.0
IVH,0,False,45-70,25.0
IVH,0,True,11-19,214.0
IVH,0,True,20-24,374.0
IVH,0,True,25-29,398.0
IVH,0,True,30-34,429.0
IVH,0,True,35-39,309.0
IVH,0,True,40-44,97.0
IVH,0,True,45-70,15.0
IVH,1,False,11-19,493.0
IVH,1,False,20-24,822.0
IVH,1,False,25-29,882.0
IVH,1,False,30-34,870.0
IVH,1,False,35-39,535.0
IVH,1,False,40-44,160.0
IVH,1,False,45-70,15.0
IVH,1,True,11-19,69.0
IVH,1,True,20-24,110.0
IVH,1,True,25-29,106.0
IVH,1,True,30-34,101.0
IVH,1,True,35-39,71.0
IVH,1,True,40-44,25.0
IVH,1,True,45-70,
NEC,0,False,11-19,1187.0
NEC,0,False,20-24,2031.0
NEC,0,False,25-29,2305.0
NEC,0,False,30-34,2311.0
NEC,0,False,35-39,1575.0
NEC,0,False,40-44,484.0
NEC,0,False,45-70,36.0
NEC,0,True,11-19,257.0
NEC,0,True,20-24,447.0
NEC,0,True,25-29,476.0
NEC,0,True,30-34,503.0
NEC,0,True,35-39,354.0
NEC,0,True,40-44,116.0
NEC,0,True,45-70,15.0
NEC,1,False,11-19,166.0
NEC,1,False,20-24,287.0
NEC,1,False,25-29,308.0
NEC,1,False,30-34,280.0
NEC,1,False,35-39,182.0
NEC,1,False,40-44,61.0
NEC,1,False,45-70,
NEC,1,True,11-19,26.0
NEC,1,True,20-24,37.0
NEC,1,True,25-29,28.0
NEC,1,True,30-34,27.0
NEC,1,True,35-39,26.0
NEC,1,True,40-44,6.0
NEC,1,True,45-70,
ROP,0,False,11-19,786.0
ROP,0,False,20-24,1322.0
ROP,0,False,25-29,1443.0
ROP,0,False,30-34,1388.0
ROP,0,False,35-39,992.0
ROP,0,False,40-44,299.0
ROP,0,False,45-70,20.0
ROP,0,True,11-19,195.0
ROP,0,True,20-24,311.0
ROP,0,True,25-29,331.0
ROP,0,True,30-34,354.0
ROP,0,True,35-39,289.0
ROP,0,True,40-44,76.0
ROP,0,True,45-70,12.0
ROP,1,False,11-19,567.0
ROP,1,False,20-24,996.0
ROP,1,False,25-29,1170.0
ROP,1,False,30-34,1203.0
ROP,1,False,35-39,765.0
ROP,1,False,40-44,246.0
ROP,1,False,45-70,20.0
ROP,1,True,11-19,88.0
ROP,1,True,20-24,173.0
ROP,1,True,25-29,173.0
ROP,1,True,30-34,176.0
ROP,1,True,35-39,91.0
ROP,1,True,40-44,46.0
ROP,1,True,45-70,
