task,model,mean_auroc,sd_auroc,mean_aupr,sd_aupr
bpd_any,deep neural network,0.6553487903488433,0.003723830544195938,0.47584602039515145,0.00530963757634602
bpd_any,en,0.5219789599223327,0.0011583731784510032,0.359662635822693,0.0010242587658268287
bpd_any,hgbc,0.5490791258137244,0.0014866302692443211,0.37895842762787396,0.0013899828559871565
bpd_any,lasso,0.5233557813131553,0.0012264407538645757,0.36068265716065184,0.001021121081463967
bpd_any,rf,0.5158882683773784,0.0012062668354500977,0.35526311957416645,0.0011343333084033128
bpd_any,xgboost,0.5576210909207175,0.0030924205864659377,0.38141878877683405,0.0023760833393977475
ivh_any,deep neural network,0.6710230731893201,0.005295981591182774,0.5433357975343639,0.006833631368388556
ivh_any,en,0.5527717996677978,9.761350208042448e-4,0.41267414723161217,0.0010726437509352316
ivh_any,hgbc,0.5718497105656175,0.0031213988181246657,0.4250971832310817,0.00315785300744119
ivh_any,lasso,0.5537063488580148,0.0014241570526084088,0.4134708499284265,0.0016655401443784095
ivh_any,rf,0.5378269839943308,0.0015254078724849522,0.39930269049232614,0.001947736574584839
ivh_any,xgboost,0.5707958238037634,0.00352669254286281,0.417553621147275,0.0033772937836034616
nec_any,deep neural network,0.5969193943026947,0.0051560946496754835,0.18186888223375058,0.004727456298784457
nec_any,en,0.4999121652711464,1.3745314431016573e-4,0.1426945022306661,5.307271034039366e-5
nec_any,hgbc,0.5001912865266607,5.083641768353483e-4,0.14288133244013188,2.62715701772284e-4
nec_any,lasso,0.499882865534844,1.3480235134958314e-4,0.14268716654991492,2.9875250978835e-5
nec_any,rf,0.5,0,0.1426777191660387,0
nec_any,xgboost,0.5007655329869637,0.0015850294869632262,0.14316318234363593,8.180468225960801e-4
rop_any,deep neural network,0.6347386768161296,0.003035227558657419,0.5615793125171856,0.004769512699830337
rop_any,en,0.5697816322881275,0.0011461341500227607,0.49542823800011,9.553228806916799e-4
rop_any,hgbc,0.5750277358358857,0.002562822259445691,0.4961012099003641,0.001954633677019796
rop_any,lasso,0.5692000451346821,0.0016517616808780454,0.49483782310903224,0.0012888191180494024
rop_any,rf,0.5641858592658537,0.0024000330043547264,0.4899126262798834,0.001903113386485015
rop_any,xgboost,0.5658902576979973,0.00467588641113724,0.4882926615067446,0.003282586550603959
