metabolite,bpd_any,ivh_any,nec_any,rop_any
ALA,0.471418741528178,0.5270403778049284,0.4478129687615854,0.48290202660136006
ARG,0.5125761582115413,0.517800865918188,0.534249895909975,0.5055719610459989
C02,0.5188117955042081,0.42598331160610237,0.5013069714650742,0.514193916159109
C03DC,0.5137672693477368,0.5031270343352933,0.5029578677800022,0.5131842241433092
C04,0.5302551635196876,0.5559993567559705,0.5125863376851519,0.540183821685503
C05,0.5469097897341976,0.5225531561268856,0.5509373805816493,0.5487751948984497
C051,0.5223285717107695,0.51081561185892,0.5115648295490193,0.5189539277557657
C05DC,0.5143751710825966,0.5444641052685724,0.4910816236903193,0.5049149395028851
C05OH,0.49383126717293,0.4761337383429304,0.552809575141591,0.5422178238653809
C06,0.47778912841236293,0.5031426591365264,0.47386627426153116,0.49279667807167665
C08,0.5148978254755273,0.4935909969065659,0.5390052415744115,0.5256432902699403
C081,0.5071079821613176,0.42630285953220726,0.5320662868093698,0.5269845512473134
C10,0.47601657161294086,0.4938026230861001,0.5263858232237679,0.48306906494005336
C101,0.493189148918758,0.4688552772835301,0.5299919009405176,0.5313856536636504
C12,0.4798496448536944,0.48131004140987144,0.5003145515003223,0.45865137490106755
C121,0.49201473450332667,0.5012847596518407,0.4995753697334725,0.4940835644305589
C14,0.501404405864829,0.44894063847639104,0.47604303908651735,0.47155271646786395
C141,0.501216273799882,0.5005362210547101,0.4918690005646527,0.486283467302444
C14OH,0.4820132811831249,0.5200506298868985,0.5208331194497202,0.47761851403770383
C16,0.5054592397771388,0.40090191053985486,0.44689469511603896,0.4906237117374556
C16OH,0.49998906482372496,0.5082278405750369,0.509055547000211,0.49009794770984383
C18,0.5229087239660497,0.41335453144124823,0.4819986995876324,0.5335899970274394
C181,0.5084159703428612,0.4100625379212543,0.4927807151127309,0.5202672980401896
C181OH,0.5080999084737504,0.5068829323520774,0.4930388013391966,0.5051953755273849
C182,0.5063746198556462,0.4175573955641051,0.5339105339105339,0.5425243156688201
C18OH,0.48448627717685255,0.49474550379060445,0.49506898459467624,0.5003147489164833
CIT,0.5188905758064045,0.5348349412590437,0.48032641491139516,0.5035343502019017
FC,0.5279327907604581,0.4570193520768265,0.5311639831402677,0.5141565450771092
GLY,0.47560585579865355,0.48228244330962605,0.4801632930091428,0.49724738433007903
MET,0.4902467634229877,0.5197624006995486,0.5058176342761324,0.49849292395994016
ORN,0.5120943049601959,0.4521979947157752,0.5009171329329432,0.5237028075407626
OXP,0.47569380753901624,0.5004930800105972,0.4723688037917287,0.4950326431202346
PHE,0.5129481893699739,0.5052791087281523,0.49829976786498525,0.5149552831455808
PRO,0.47906066600632313,0.5327979787867743,0.4670065990224093,0.4894519968145893
R14_12,0.5065607530174031,0.5000906376744101,0.500421208128718,0.49865971764343214
R3_2,0.4919818113919609,0.5239702426351878,0.5024479692463882,0.5209307417823376
R8_10,0.5339785322500689,0.5022252897225312,0.5163204603916066,0.5377544567003109
RA_O,0.5067975642541551,0.5581954709646946,0.5449483542368918,0.4893934018938759
RC_A,0.49499944971371,0.4987996557565916,0.45425314694089397,0.49778207827253856
RF_C,0.5200605220852934,0.5414693977897405,0.5551987976889163,0.5107362653628176
RF_Y,0.5276422443026556,0.4513718852027878,0.5200269208174346,0.5118468776491572
RL_A,0.5601277134522893,0.460183650871698,0.5548400435752214,0.5380972798011443
RO_C,0.504813594046749,0.41706002910361206,0.5202778775901306,0.5174553534839512
TYR,0.4788967559447381,0.5500132603401616,0.4803968539146405,0.4937923635772016
VAL,0.5291682305144565,0.5059284367510811,0.5005113244243679,0.5097831498623203
XLE,0.5252062868092143,0.4925497352633235,0.5070861066908497,0.5236083706330575
